id,workload,iteration,cluster,number_of_cores,total_time,%time,%running_time
1,gmail,1,0,0,21.7,39.0,0.0
1,gmail,1,0,1,14.9,26.9,44.1
1,gmail,1,0,2,9.8,17.7,29.0
1,gmail,1,0,3,5.9,10.6,17.4
1,gmail,1,0,4,3.2,5.8,9.5
1,gmail,1,all,0,21.7,39.0,0.0
1,gmail,1,all,1,14.9,26.9,44.1
1,gmail,1,all,2,9.8,17.7,29.0
1,gmail,1,all,3,5.9,10.6,17.4
1,gmail,1,all,4,3.2,5.8,9.5
1,gmail,2,0,0,20.4,39.4,0.0
1,gmail,2,0,1,12.9,25.0,41.3
1,gmail,2,0,2,9.8,18.9,31.2
1,gmail,2,0,3,5.6,10.9,18.0
1,gmail,2,0,4,3.0,5.8,9.6
1,gmail,2,all,0,20.4,39.4,0.0
1,gmail,2,all,1,12.9,25.0,41.3
1,gmail,2,all,2,9.8,18.9,31.2
1,gmail,2,all,3,5.6,10.9,18.0
1,gmail,2,all,4,3.0,5.8,9.6
1,gmail,3,0,0,19.8,39.2,0.0
1,gmail,3,0,1,12.9,25.7,42.2
1,gmail,3,0,2,9.4,18.6,30.6
1,gmail,3,0,3,5.4,10.7,17.6
1,gmail,3,0,4,2.9,5.8,9.5
1,gmail,3,all,0,19.8,39.2,0.0
1,gmail,3,all,1,12.9,25.7,42.2
1,gmail,3,all,2,9.4,18.6,30.6
1,gmail,3,all,3,5.4,10.7,17.6
1,gmail,3,all,4,2.9,5.8,9.5
1,gmail,4,0,0,20.7,40.5,0.0
1,gmail,4,0,1,13.2,25.7,43.2
1,gmail,4,0,2,10.1,19.7,33.2
1,gmail,4,0,3,4.3,8.3,14.0
1,gmail,4,0,4,2.9,5.7,9.6
1,gmail,4,all,0,20.7,40.5,0.0
1,gmail,4,all,1,13.2,25.7,43.2
1,gmail,4,all,2,10.1,19.7,33.2
1,gmail,4,all,3,4.3,8.3,14.0
1,gmail,4,all,4,2.9,5.7,9.6
1,gmail,5,0,0,21.5,42.8,0.0
1,gmail,5,0,1,12.6,25.1,43.8
1,gmail,5,0,2,8.7,17.4,30.5
1,gmail,5,0,3,4.8,9.6,16.8
1,gmail,5,0,4,2.6,5.1,8.9
1,gmail,5,all,0,21.5,42.8,0.0
1,gmail,5,all,1,12.6,25.1,43.8
1,gmail,5,all,2,8.7,17.4,30.5
1,gmail,5,all,3,4.8,9.6,16.8
1,gmail,5,all,4,2.6,5.1,8.9
1,gmail,6,0,0,19.5,40.4,0.0
1,gmail,6,0,1,12.4,25.6,42.9
1,gmail,6,0,2,8.6,17.8,29.9
1,gmail,6,0,3,4.9,10.1,16.9
1,gmail,6,0,4,3.0,6.1,10.3
1,gmail,6,all,0,19.5,40.4,0.0
1,gmail,6,all,1,12.4,25.6,42.9
1,gmail,6,all,2,8.6,17.8,29.9
1,gmail,6,all,3,4.9,10.1,16.9
1,gmail,6,all,4,3.0,6.1,10.3
1,gmail,7,0,0,22.0,43.3,0.0
1,gmail,7,0,1,12.7,25.0,44.1
1,gmail,7,0,2,8.8,17.4,30.8
1,gmail,7,0,3,4.7,9.4,16.5
1,gmail,7,0,4,2.5,4.9,8.6
1,gmail,7,all,0,22.0,43.3,0.0
1,gmail,7,all,1,12.7,25.0,44.1
1,gmail,7,all,2,8.8,17.4,30.8
1,gmail,7,all,3,4.7,9.4,16.5
1,gmail,7,all,4,2.5,4.9,8.6
1,gmail,8,0,0,22.3,44.3,0.0
1,gmail,8,0,1,12.6,25.1,45.1
1,gmail,8,0,2,8.5,16.9,30.4
1,gmail,8,0,3,4.6,9.1,16.4
1,gmail,8,0,4,2.3,4.5,8.1
1,gmail,8,all,0,22.3,44.3,0.0
1,gmail,8,all,1,12.6,25.1,45.1
1,gmail,8,all,2,8.5,16.9,30.4
1,gmail,8,all,3,4.6,9.1,16.4
1,gmail,8,all,4,2.3,4.5,8.1
1,gmail,9,0,0,19.7,41.4,0.0
1,gmail,9,0,1,12.1,25.5,43.5
1,gmail,9,0,2,8.4,17.6,30.1
1,gmail,9,0,3,4.7,9.9,16.9
1,gmail,9,0,4,2.7,5.6,9.6
1,gmail,9,all,0,19.7,41.4,0.0
1,gmail,9,all,1,12.1,25.5,43.5
1,gmail,9,all,2,8.4,17.6,30.1
1,gmail,9,all,3,4.7,9.9,16.9
1,gmail,9,all,4,2.7,5.6,9.6
1,gmail,10,0,0,21.0,41.7,0.0
1,gmail,10,0,1,12.7,25.1,43.1
1,gmail,10,0,2,8.8,17.4,29.9
1,gmail,10,0,3,6.0,12.0,20.5
1,gmail,10,0,4,1.9,3.8,6.5
1,gmail,10,all,0,21.0,41.7,0.0
1,gmail,10,all,1,12.7,25.1,43.1
1,gmail,10,all,2,8.8,17.4,29.9
1,gmail,10,all,3,6.0,12.0,20.5
1,gmail,10,all,4,1.9,3.8,6.5
